date,holiday_name,event_type,trading_status,expected_impact,event_window,closure_flag,reduced_trading_flag
2025-06-13,None,normal,normal,normal,normal,0,0
2025-06-14,None,normal,normal,normal,normal,0,0
2025-06-15,None,normal,normal,normal,normal,0,0
2025-06-16,None,normal,normal,normal,normal,0,0
2025-06-17,None,normal,normal,normal,normal,0,0
2025-06-18,None,normal,normal,normal,normal,0,0
2025-06-19,None,normal,normal,normal,normal,0,0
2025-06-20,None,normal,normal,normal,normal,0,0
2025-06-21,None,normal,normal,normal,normal,0,0
2025-06-22,None,normal,normal,normal,normal,0,0
2025-06-23,None,normal,normal,normal,normal,0,0
2025-06-24,None,normal,normal,normal,normal,0,0
2025-06-25,None,normal,normal,normal,normal,0,0
2025-06-26,None,normal,normal,normal,normal,0,0
2025-06-27,None,normal,normal,normal,normal,0,0
2025-06-28,None,normal,normal,normal,normal,0,0
2025-06-29,None,normal,normal,normal,normal,0,0
2025-06-30,None,normal,normal,normal,normal,0,0
2025-07-01,None,normal,normal,normal,normal,0,0
2025-07-02,None,normal,normal,normal,normal,0,0
2025-07-03,None,normal,normal,normal,normal,0,0
2025-07-04,None,normal,normal,normal,normal,0,0
2025-07-05,None,normal,normal,normal,normal,0,0
2025-07-06,None,normal,normal,normal,normal,0,0
2025-07-07,School Holiday,school_holiday,normal,event-affected demand,winter_school_holiday,0,0
2025-07-08,School Holiday,school_holiday,normal,event-affected demand,winter_school_holiday,0,0
2025-07-09,School Holiday,school_holiday,normal,event-affected demand,winter_school_holiday,0,0
2025-07-10,School Holiday,school_holiday,normal,event-affected demand,winter_school_holiday,0,0
2025-07-11,School Holiday,school_holiday,normal,event-affected demand,winter_school_holiday,0,0
2025-07-12,School Holiday,school_holiday,normal,event-affected demand,winter_school_holiday,0,0
2025-07-13,School Holiday,school_holiday,normal,event-affected demand,winter_school_holiday,0,0
2025-07-14,School Holiday,school_holiday,normal,event-affected demand,winter_school_holiday,0,0
2025-07-15,School Holiday,school_holiday,normal,event-affected demand,winter_school_holiday,0,0
2025-07-16,School Holiday,school_holiday,normal,event-affected demand,winter_school_holiday,0,0
2025-07-17,School Holiday,school_holiday,normal,event-affected demand,winter_school_holiday,0,0
2025-07-18,School Holiday,school_holiday,normal,event-affected demand,winter_school_holiday,0,0
2025-07-19,School Holiday,school_holiday,normal,event-affected demand,winter_school_holiday,0,0
2025-07-20,School Holiday,school_holiday,normal,event-affected demand,winter_school_holiday,0,0
2025-07-21,None,normal,normal,normal,normal,0,0
2025-07-22,None,normal,normal,normal,normal,0,0
2025-07-23,None,normal,normal,normal,normal,0,0
2025-07-24,None,normal,normal,normal,normal,0,0
2025-07-25,None,normal,normal,normal,normal,0,0
2025-07-26,None,normal,normal,normal,normal,0,0
2025-07-27,None,normal,normal,normal,normal,0,0
2025-07-28,None,normal,normal,normal,normal,0,0
2025-07-29,None,normal,normal,normal,normal,0,0
2025-07-30,None,normal,normal,normal,normal,0,0
2025-07-31,None,normal,normal,normal,normal,0,0
2025-08-01,None,normal,normal,normal,normal,0,0
2025-08-02,None,normal,normal,normal,normal,0,0
2025-08-03,None,normal,normal,normal,normal,0,0
2025-08-04,None,normal,normal,normal,normal,0,0
2025-08-05,None,normal,normal,normal,normal,0,0
2025-08-06,None,normal,normal,normal,normal,0,0
2025-08-07,None,normal,normal,normal,normal,0,0
2025-08-08,None,normal,normal,normal,normal,0,0
2025-08-09,None,normal,normal,normal,normal,0,0
2025-08-10,None,normal,normal,normal,normal,0,0
2025-08-11,None,normal,normal,normal,normal,0,0
2025-08-12,None,normal,normal,normal,normal,0,0
2025-08-13,None,normal,normal,normal,normal,0,0
2025-08-14,None,normal,normal,normal,normal,0,0
2025-08-15,None,normal,normal,normal,normal,0,0
2025-08-16,None,normal,normal,normal,normal,0,0
2025-08-17,None,normal,normal,normal,normal,0,0
2025-08-18,None,normal,normal,normal,normal,0,0
2025-08-19,None,normal,normal,normal,normal,0,0
2025-08-20,None,normal,normal,normal,normal,0,0
2025-08-21,None,normal,normal,normal,normal,0,0
2025-08-22,None,normal,normal,normal,normal,0,0
2025-08-23,None,normal,normal,normal,normal,0,0
2025-08-24,None,normal,normal,normal,normal,0,0
2025-08-25,None,normal,normal,normal,normal,0,0
2025-08-26,None,normal,normal,normal,normal,0,0
2025-08-27,None,normal,normal,normal,normal,0,0
2025-08-28,None,normal,normal,normal,normal,0,0
2025-08-29,None,normal,normal,normal,normal,0,0
2025-08-30,None,normal,normal,normal,normal,0,0
2025-08-31,None,normal,normal,normal,normal,0,0
2025-09-01,None,normal,normal,normal,normal,0,0
2025-09-02,None,normal,normal,normal,normal,0,0
2025-09-03,None,normal,normal,normal,normal,0,0
2025-09-04,None,normal,normal,normal,normal,0,0
2025-09-05,None,normal,normal,normal,normal,0,0
2025-09-06,None,normal,normal,normal,normal,0,0
2025-09-07,None,normal,normal,normal,normal,0,0
2025-09-08,None,normal,normal,normal,normal,0,0
2025-09-09,None,normal,normal,normal,normal,0,0
2025-09-10,None,normal,normal,normal,normal,0,0
2025-09-11,None,normal,normal,normal,normal,0,0
2025-09-12,None,normal,normal,normal,normal,0,0
2025-09-13,None,normal,normal,normal,normal,0,0
2025-09-14,None,normal,normal,normal,normal,0,0
2025-09-15,None,normal,normal,normal,normal,0,0
2025-09-16,None,normal,normal,normal,normal,0,0
2025-09-17,None,normal,normal,normal,normal,0,0
2025-09-18,None,normal,normal,normal,normal,0,0
2025-09-19,None,normal,normal,normal,normal,0,0
2025-09-20,None,normal,normal,normal,normal,0,0
2025-09-21,None,normal,normal,normal,normal,0,0
2025-09-22,None,normal,normal,normal,normal,0,0
2025-09-23,None,normal,normal,normal,normal,0,0
2025-09-24,None,normal,normal,normal,normal,0,0
2025-09-25,None,normal,normal,normal,normal,0,0
2025-09-26,None,normal,normal,normal,normal,0,0
2025-09-27,None,normal,normal,normal,normal,0,0
2025-09-28,None,normal,normal,normal,normal,0,0
2025-09-29,School Holiday,school_holiday,normal,event-affected demand,spring_school_holiday,0,0
2025-09-30,School Holiday,school_holiday,normal,event-affected demand,spring_school_holiday,0,0
2025-10-01,School Holiday,school_holiday,normal,event-affected demand,spring_school_holiday,0,0
2025-10-02,School Holiday,school_holiday,normal,event-affected demand,spring_school_holiday,0,0
2025-10-03,School Holiday,school_holiday,normal,event-affected demand,spring_school_holiday,0,0
2025-10-04,School Holiday,school_holiday,normal,event-affected demand,spring_school_holiday,0,0
2025-10-05,School Holiday,school_holiday,normal,event-affected demand,spring_school_holiday,0,0
2025-10-06,School Holiday,school_holiday,normal,event-affected demand,spring_school_holiday,0,0
2025-10-07,School Holiday,school_holiday,normal,event-affected demand,spring_school_holiday,0,0
2025-10-08,School Holiday,school_holiday,normal,event-affected demand,spring_school_holiday,0,0
2025-10-09,School Holiday,school_holiday,normal,event-affected demand,spring_school_holiday,0,0
2025-10-10,School Holiday,school_holiday,normal,event-affected demand,spring_school_holiday,0,0
2025-10-11,School Holiday,school_holiday,normal,event-affected demand,spring_school_holiday,0,0
2025-10-12,School Holiday,school_holiday,normal,event-affected demand,spring_school_holiday,0,0
2025-10-13,None,normal,normal,normal,normal,0,0
2025-10-14,None,normal,normal,normal,normal,0,0
2025-10-15,None,normal,normal,normal,normal,0,0
2025-10-16,None,normal,normal,normal,normal,0,0
2025-10-17,None,normal,normal,normal,normal,0,0
2025-10-18,None,normal,normal,normal,normal,0,0
2025-10-19,None,normal,normal,normal,normal,0,0
2025-10-20,None,normal,normal,normal,normal,0,0
2025-10-21,None,normal,normal,normal,normal,0,0
2025-10-22,None,normal,normal,normal,normal,0,0
2025-10-23,None,normal,normal,normal,normal,0,0
2025-10-24,None,normal,normal,normal,normal,0,0
2025-10-25,None,normal,normal,normal,normal,0,0
2025-10-26,None,normal,normal,normal,normal,0,0
2025-10-27,None,normal,normal,normal,normal,0,0
2025-10-28,None,normal,normal,normal,normal,0,0
2025-10-29,None,normal,normal,normal,normal,0,0
2025-10-30,None,normal,normal,normal,normal,0,0
2025-10-31,None,normal,normal,normal,normal,0,0
2025-11-01,None,normal,normal,normal,normal,0,0
2025-11-02,None,normal,normal,normal,normal,0,0
2025-11-03,None,normal,normal,normal,normal,0,0
2025-11-04,None,normal,normal,normal,normal,0,0
2025-11-05,None,normal,normal,normal,normal,0,0
2025-11-06,None,normal,normal,normal,normal,0,0
2025-11-07,None,normal,normal,normal,normal,0,0
2025-11-08,None,normal,normal,normal,normal,0,0
2025-11-09,None,normal,normal,normal,normal,0,0
2025-11-10,None,normal,normal,normal,normal,0,0
2025-11-11,None,normal,normal,normal,normal,0,0
2025-11-12,None,normal,normal,normal,normal,0,0
2025-11-13,None,normal,normal,normal,normal,0,0
2025-11-14,None,normal,normal,normal,normal,0,0
2025-11-15,None,normal,normal,normal,normal,0,0
2025-11-16,None,normal,normal,normal,normal,0,0
2025-11-17,None,normal,normal,normal,normal,0,0
2025-11-18,None,normal,normal,normal,normal,0,0
2025-11-19,None,normal,normal,normal,normal,0,0
2025-11-20,None,normal,normal,normal,normal,0,0
2025-11-21,None,normal,normal,normal,normal,0,0
2025-11-22,None,normal,normal,normal,normal,0,0
2025-11-23,None,normal,normal,normal,normal,0,0
2025-11-24,None,normal,normal,normal,normal,0,0
2025-11-25,None,normal,normal,normal,normal,0,0
2025-11-26,None,normal,normal,normal,normal,0,0
2025-11-27,None,normal,normal,normal,normal,0,0
2025-11-28,None,normal,normal,normal,normal,0,0
2025-11-29,None,normal,normal,normal,normal,0,0
2025-11-30,None,normal,normal,normal,normal,0,0
2025-12-01,None,normal,normal,normal,normal,0,0
2025-12-02,None,normal,normal,normal,normal,0,0
2025-12-03,None,normal,normal,normal,normal,0,0
2025-12-04,None,normal,normal,normal,normal,0,0
2025-12-05,None,normal,normal,normal,normal,0,0
2025-12-06,None,normal,normal,normal,normal,0,0
2025-12-07,None,normal,normal,normal,normal,0,0
2025-12-08,None,normal,normal,normal,normal,0,0
2025-12-09,None,normal,normal,normal,normal,0,0
2025-12-10,Christmas,christmas,normal,expected demand uplift,early_christmas_build_up,0,0
2025-12-11,Christmas,christmas,normal,expected demand uplift,early_christmas_build_up,0,0
2025-12-12,Christmas,christmas,normal,expected demand uplift,early_christmas_build_up,0,0
2025-12-13,Christmas,christmas,normal,expected demand uplift,early_christmas_build_up,0,0
2025-12-14,Christmas,christmas,normal,expected demand uplift,early_christmas_build_up,0,0
2025-12-15,Christmas,christmas,normal,expected demand uplift,early_christmas_build_up,0,0
2025-12-16,Christmas,christmas,normal,expected demand uplift,early_christmas_build_up,0,0
2025-12-17,Christmas,christmas,normal,expected demand uplift,early_christmas_build_up,0,0
2025-12-18,Christmas,christmas,normal,expected demand uplift,early_christmas_build_up,0,0
2025-12-19,Christmas,christmas,normal,expected demand uplift,peak_christmas_build_up,0,0
2025-12-20,Christmas,christmas,normal,expected demand uplift,peak_christmas_build_up,0,0
2025-12-21,Christmas,christmas,normal,expected demand uplift,peak_christmas_build_up,0,0
2025-12-22,Christmas,christmas,normal,expected demand uplift,peak_christmas_build_up,0,0
2025-12-23,Christmas,christmas,normal,expected demand uplift,peak_christmas_build_up,0,0
2025-12-24,Christmas,christmas,normal,expected demand uplift,peak_christmas_build_up,0,0
2025-12-25,Christmas,christmas,closed,closed,christmas_day_closed,1,0
2025-12-26,Christmas,christmas,normal,post-event recovery,post_christmas,0,0
2025-12-27,Christmas,christmas,normal,post-event recovery,post_christmas,0,0
2025-12-28,Christmas,christmas,normal,post-event recovery,post_christmas,0,0
2025-12-29,Christmas,christmas,normal,expected demand uplift,new_years_eve_build_up,0,0
2025-12-30,Christmas,christmas,normal,expected demand uplift,new_years_eve_build_up,0,0
2025-12-31,Christmas,christmas,normal,expected demand uplift,new_years_eve_build_up,0,0
