date,holiday_name,event_type,trading_status,expected_impact,event_window,holiday_flag,closure_flag,reduced_trading_flag,disruption_flag
2026-06-12,None,none,normal,normal demand,normal,0,0,0,0
2026-06-13,None,none,normal,normal demand,normal,0,0,0,0
2026-06-14,None,none,normal,normal demand,normal,0,0,0,0
2026-06-15,None,none,normal,normal demand,normal,0,0,0,0
2026-06-16,None,none,normal,normal demand,normal,0,0,0,0
2026-06-17,None,none,normal,normal demand,normal,0,0,0,0
2026-06-18,None,none,normal,normal demand,normal,0,0,0,0
2026-06-19,None,none,normal,normal demand,normal,0,0,0,0
2026-06-20,None,none,normal,normal demand,normal,0,0,0,0
2026-06-21,None,none,normal,normal demand,normal,0,0,0,0
2026-06-22,None,none,normal,normal demand,normal,0,0,0,0
2026-06-23,None,none,normal,normal demand,normal,0,0,0,0
2026-06-24,None,none,normal,normal demand,normal,0,0,0,0
2026-06-25,None,none,normal,normal demand,normal,0,0,0,0
2026-06-26,None,none,normal,normal demand,normal,0,0,0,0
2026-06-27,None,none,normal,normal demand,normal,0,0,0,0
2026-06-28,None,none,normal,normal demand,normal,0,0,0,0
2026-06-29,None,none,normal,normal demand,normal,0,0,0,0
